Mental_indicator,Group_name,Subgroup,Time_Period,Percentage,Risk,year
Symptoms of Depressive Disorder,By Sex,1,2020-11-25,30.9,High,2020
Symptoms of Anxiety Disorder,By Sex,0,2020-11-25,31.4,High,2020
Symptoms of Anxiety Disorder,By Sex,1,2020-11-25,40.5,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-11-25,36.8,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-11-25,45.7,Extreme,2020
Symptoms of Depressive Disorder,By Sex,0,2020-12-09,27.9,Moderate,2020
Symptoms of Depressive Disorder,By Sex,1,2020-12-09,32.3,High,2020
Symptoms of Anxiety Disorder,By Sex,0,2020-12-09,32.2,High,2020
Symptoms of Anxiety Disorder,By Sex,1,2020-12-09,41.1,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2020-12-09,37.9,Extreme,2020
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2020-12-09,46.5,Extreme,2020
Symptoms of Depressive Disorder,By Sex,0,2021-01-06,25.9,Moderate,2021
Symptoms of Depressive Disorder,By Sex,1,2021-01-06,30.6,High,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-01-06,30.7,High,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-01-06,40.5,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-01-06,36.4,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-01-06,45.4,Extreme,2021
Symptoms of Depressive Disorder,By Sex,0,2021-01-20,26.3,Moderate,2021
Symptoms of Depressive Disorder,By Sex,1,2021-01-20,30.4,High,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-01-20,32.4,High,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-01-20,39.5,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-01-20,38.0,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-01-20,44.8,Extreme,2021
Symptoms of Depressive Disorder,By Sex,0,2021-02-03,26.1,Moderate,2021
Symptoms of Depressive Disorder,By Sex,1,2021-02-03,29.9,High,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-02-03,29.6,Moderate,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-02-03,37.6,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-02-03,35.5,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-02-03,43.0,Extreme,2021
Symptoms of Depressive Disorder,By Sex,0,2021-02-17,26.7,Moderate,2021
Symptoms of Depressive Disorder,By Sex,1,2021-02-17,28.7,Moderate,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-02-17,29.6,Moderate,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-02-17,36.8,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-02-17,35.5,Extreme,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-02-17,42.0,Extreme,2021
Symptoms of Depressive Disorder,By Sex,0,2021-03-03,24.2,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-03-03,28.4,Moderate,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-03-03,27.5,Moderate,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-03-03,35.1,High,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-03-03,33.1,High,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-03-03,40.5,Extreme,2021
Symptoms of Depressive Disorder,By Sex,0,2021-03-17,23.2,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-03-17,26.0,Moderate,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-03-17,26.3,Moderate,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-03-17,33.5,High,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-03-17,31.7,High,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-03-17,38.2,Extreme,2021
Symptoms of Depressive Disorder,By Sex,0,2021-04-14,20.5,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-04-14,25.2,Moderate,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-04-14,23.0,Mild,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-04-14,31.3,High,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-04-14,27.9,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-04-14,36.3,Extreme,2021
Symptoms of Depressive Disorder,By Sex,0,2021-04-28,20.1,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-04-28,23.6,Mild,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-04-28,22.5,Mild,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-04-28,30.2,High,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-04-28,26.9,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-04-28,34.3,High,2021
Symptoms of Depressive Disorder,By Sex,0,2021-05-12,19.7,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-05-12,23.3,Mild,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-05-12,22.0,Mild,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-05-12,29.2,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-05-12,26.6,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-05-12,33.4,High,2021
Symptoms of Depressive Disorder,By Sex,0,2021-05-26,19.3,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-05-26,22.4,Mild,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-05-26,22.1,Mild,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-05-26,28.5,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-05-26,26.6,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-05-26,32.4,High,2021
Symptoms of Depressive Disorder,By Sex,0,2021-06-09,20.1,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-06-09,23.0,Mild,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-06-09,23.2,Mild,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-06-09,28.8,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-06-09,27.6,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-06-09,33.0,High,2021
Symptoms of Depressive Disorder,By Sex,0,2021-06-23,18.4,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-06-23,23.1,Mild,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-06-23,20.2,Mild,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-06-23,28.5,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-06-23,24.4,Mild,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-06-23,33.1,High,2021
Symptoms of Depressive Disorder,By Sex,0,2021-07-21,21.1,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-07-21,23.1,Mild,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-07-21,23.6,Mild,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-07-21,30.1,High,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-07-21,28.3,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-07-21,34.1,High,2021
Symptoms of Depressive Disorder,By Sex,0,2021-08-04,19.6,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-08-04,23.0,Mild,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-08-04,22.4,Mild,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-08-04,30.5,High,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-08-04,27.3,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-08-04,34.2,High,2021
Symptoms of Depressive Disorder,By Sex,0,2021-08-18,20.7,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-08-18,24.4,Mild,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-08-18,23.4,Mild,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-08-18,32.0,High,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-08-18,28.0,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-08-18,36.0,Extreme,2021
Symptoms of Depressive Disorder,By Sex,0,2021-09-01,21.2,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-09-01,23.6,Mild,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-09-01,24.5,Mild,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-09-01,31.5,High,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-09-01,28.8,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-09-01,35.3,Extreme,2021
Symptoms of Depressive Disorder,By Sex,0,2021-09-15,21.2,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-09-15,23.4,Mild,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-09-15,24.0,Mild,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-09-15,31.4,High,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-09-15,28.8,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-09-15,35.3,Extreme,2021
Symptoms of Depressive Disorder,By Sex,0,2021-09-29,19.7,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-09-29,23.8,Mild,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-09-29,22.9,Mild,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-09-29,31.3,High,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-09-29,27.5,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-09-29,35.3,Extreme,2021
Symptoms of Depressive Disorder,By Sex,0,2021-12-01,20.0,Mild,2021
Symptoms of Depressive Disorder,By Sex,1,2021-12-01,22.8,Mild,2021
Symptoms of Anxiety Disorder,By Sex,0,2021-12-01,22.9,Mild,2021
Symptoms of Anxiety Disorder,By Sex,1,2021-12-01,29.9,High,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,0,2021-12-01,27.5,Moderate,2021
Symptoms of Anxiety Disorder or Depressive Disorder,By Sex,1,2021-12-01,33.8,High,2021
